"anio";"mes";"demanda";"precio";"cobertura";"cmo";"tipo_cambio"
2025;45689;12905,262833;69,1750352191044;0,835977009748333;60758,6160863097;1064,375
2025;45717;11651,389456;69,5884598916552;0,871035182931941;55354,376639785;1073,875
2025;45748;9820,731127;67,3823810544511;0,806370295946876;37065,3433333333;1172
2025;45778;10941,690529;77,7415088289127;0,700777357597129;77991,5048655913;1195,3333
2025;45809;12681,807095;94,6867465933143;0,570180175801532;143535,462319444;1194,0833
2025;45839;12899,042503;96,8411281855144;0,517205881762394;150817,236626344;1351,833
2025;45870;11714,589668;91,476883752258;0,568284077441713;101427,66483871;1323,8333
2025;45901;10625,332505;76,964438846177;0,668949720169106;67880,7205555556;1366,58
2025;45931;10579,998111;68,0442777812949;0,709721825064317;38419,5158467742;1443
2025;45962;10606,975007;55,5;0,774344170702657;46623,9156666666;1450,75
2025;45992;12924,067031;58,3327422886094;0,724732161794308;58463,3555645161;1459,4167
2026;46023;13139,723724;64,6;0,727253336757228;80838,3061424733;1447,6657
2026;46054;11759,375422;64,5850440180975;0,692472356110857;80838,3061424733;1408,9662
